Aloft Harlem,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.471766849,10.01821494,0,-1,-1,-1,-1,14.02550091,14.02550091,14.02550091,14.02550091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.04371585,32.0582878,-1,-1,-1,-1,-1,-1,-1,51.73041894,61.56648452,71.58469945,-1,-1,53.91621129,-1,71.58469945,-1,32.0582878,-1,-1,-1,-1,-1,-1,-1,45.90163934,-1,34.06193078,-1,47.54098361,-1,-1,-1,43.16939891,-1,-1,42.25865209,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,82.87795993,-1,-1,-1,21.49362477,-1,-1,-1,59.92714026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Andaz 5th Avenue - a concept by Hyatt,-1,-1,20.31152648,-1,-1,-1,-1,0,-1,-1,-1,42.92834891,-1,-1,-1,-1,-1,-1,19.87538941,-1,-1,-1,-1,-1,-1,-1,99.43925234,-1,62.67912773,-1,-1,-1,52.08722741,73.27102804,67.6635514,-1,-1,-1,79.12772586,87.91277259,48.41121495,59.81308411,64.29906542,96.32398754,39.68847352,74.51713396,52.21183801,42.80373832,-1,71.40186916,73.27102804,-1,52.71028037,63.92523364,96.32398754,89.47040498,50.21806854,-1,70.7788162,57.07165109,-1,78.87850467,-1,-1,-1,68.28660436,-1,-1,72.02492212,-1,-1,-1,53.33333333,-1,89.47040498,-1,-1,64.04984424,-1,-1,45.29595016,-1,-1,-1,-1,-1,-1,-1,48.41121495,49.40809969,-1,-1,48.97196262,89.47040498,-1,-1,34.08099688,-1,-1,-1,-1,-1,-1,-1,44.36137072,64.5482866,65.17133956,53.45794393,40.87227414,-1,-1,-1,45.10903427,-1,-1,42.49221184,-1,-1,78.94080997,73.58255452,-1,-1,-1,-1,-1,40.0623053,64.5482866,-1,44.04984424,33.52024922,42.55451713,45.29595016,33.14641745,34.95327103,31.71339564,55.3271028,-1,-1,-1,-1,-1,10.15576324,9.345794393,0.872274143,-1,10.15576324,47.60124611,47.60124611,43.61370717,-1,52.46105919,-1,-1,89.65732087,45.98130841,69.96884735,96.26168224,51.21495327,78.81619938,100
Andaz Wall Street - a concept by Hyatt,22.47838617,20.17291066,21.90201729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.95100865,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.76945245,-1,-1,59.0778098,38.6167147,39.76945245,-1,-1,-1,-1,-1,-1,-1,-1,50.43227666,52.44956772,51.29682997,-1,52.44956772,54.46685879,50.14409222,50.7204611,-1,-1,38.6167147,100,-1,41.32564841,-1,32.27665706,-1,-1,40.74927954,-1,76.94524496,-1,79.25072046,-1,37.46397695,54.75504323,53.31412104,-1,-1,32.79538905,-1,50.43227666,-1,-1,-1,-1,54.75504323,39.76945245,54.46685879,60.51873199,44.6685879,47.55043228,45.53314121,47.83861671,-1,60.51873199,-1,65.99423631,40.05763689,31.70028818,49.85590778,57.06051873,41.78674352,45.99423631,47.55043228,-1,51.29682997,50.14409222,34.58213256,-1,67.72334294,55.61959654,62.53602305,69.74063401,-1,34.58213256,50.14409222,-1,32.27665706,31.70028818,28.24207493,-1,32.85302594,-1,-1,20.17291066,-1,-1,34.58213256,-1,-1,21.72910663,32.91066282,37.11815562,5.936599424,19.02017291,26.22478386,-1,21.72910663,24.55331412,19.59654179,8.760806916,29.39481268,49.56772334,30.02881844,-1,4.610951009,-1,-1,-1,-1,1.152737752,0,2.017291066,2.190201729,3.112391931,0.864553314,-1,18.73198847,23.40057637,9.39481268,7.089337176,62.88184438,29.33717579,22.82420749,46.68587896,44.61095101,34.75504323,-1,-1
Baccarat Hotel and Residences New York,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.38961039,-1,-1,-1,10.38961039,-1,-1,-1,3.896103896,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1.298701299,-1,-1,-1,-1,85.71428571,85.71428571,35.06493506,-1,-1,-1,-1
Bentley Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.290505432,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97.07132735,-1,-1,-1,-1,-1,25.36608408,25.27161077,24.84648087,24.61029759,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,57.06188002,-1,-1,43.93008975,48.22862541,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.92678318,12.75389702,12.51771375,14.69059991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,29.2867265,-1,-1,54.55833727,55.40859707,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.14785073,-1
Best Western Bayside Inn,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,96.91629956,-1,-1,85.46255507,-1,-1,74.44933921,-1,-1,-1,-1,84.14096916,71.8061674,-1,-1,83.25991189,-1,-1,-1,52.86343612,-1,-1,-1,71.8061674,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71.8061674,-1,-1,-1,-1,-1,-1,-1,29.95594714,51.10132159,-1,-1,-1,-1,-1,-1,-1,51.10132159,-1,29.95594714,40.52863436,8.810572687,-1,-1,69.60352423,58.59030837,-1,-1,45.81497797,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.26431718,30.39647577,0,-1,-1,61.67400881,-1,-1,-1,25.55066079,70.4845815,-1,18.06167401,44.05286344,66.07929515,-1,-1,-1,-1,-1
Best Western Bowery Hanbee Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.4822335,65.2284264,-1,-1,72.58883249,65.4822335,-1,-1,77.66497462,-1,-1,-1,-1,75.25380711,-1,-1,-1,-1,-1,-1,-1,-1,-1,76.64974619,82.6142132,100,-1,-1,-1,-1,-1,-1,58.37563452,57.74111675,-1,-1,77.53807107,77.53807107,-1,-1,-1,68.40101523,-1,-1,-1,68.02030457,-1,-1,-1,-1,-1,-1,-1,70.81218274,-1,68.65482234,70.81218274,66.49746193,-1,-1,77.53807107,77.53807107,-1,-1,-1,68.40101523,-1,-1,-1,-1,-1,-1,48.35025381,56.72588832,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.269035533,0,0.253807107,1.649746193,11.04060914,15.4822335,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.68527919,15.4822335
Best Western Plus Arena Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62.97420334,-1,-1,-1,-1,-1,-1,69.04400607,100,-1,-1,86.64643399,71.16843703,67.22306525,-1,-1,-1,-1,-1,-1,82.09408194,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35.35660091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49.92412747,-1,-1,29.59028832,0,-1,-1
Best Western Plus Newark Airport West,60.37735849,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.47798742,26.41509434,-1,-1,47.16981132,-1,-1,-1,52.83018868,-1,-1,-1,-1,-1,-1,38.99371069,-1,-1,-1,-1,50.94339623,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62.89308176,-1,-1,-1,-1,-1,-1,-1,45.28301887,-1,-1,-1,-1,35.8490566,24.52830189,-1,-1,24.52830189,-1,-1,-1,-1,-1,-1,17.61006289,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.35220126,27.67295597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,20.75471698,-1,-1,8.805031447,20.12578616,-1,-1,-1,18.23899371,-1,-1
Blakely New York,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86.48409894,81.00706714,64.48763251,86.48409894,64.48763251,75.53003534,81.00706714,64.48763251,77.91519435,77.82685512,73.0565371,77.82685512,82.15547703,82.15547703,100,82.15547703,-1,-1,-1,-1,82.15547703,82.15547703,82.15547703,82.15547703,-1,-1,90.10600707,-1,-1,81.44876325,92.40282686,-1,-1,-1,-1,-1,38.16254417,-1,38.16254417,35.60070671,-1,-1,-1,-1,-1,39.75265018,39.8409894,38.95759717,39.75265018,39.75265018,39.8409894,37.1024735,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.038869258,8.127208481,8.127208481,8.127208481,9.717314488,9.717314488,9.717314488,8.833922261,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cassa Hotel 45th Street,26.71428571,31,39.57142857,41.71428571,19.57142857,48.85714286,25.28571429,33.85714286,17.42857143,21.71428571,28.85714286,27.42857143,13.14285714,20.28571429,14.57142857,33.85714286,13.85714286,-1,8.857142857,8.142857143,-1,8.857142857,25.28571429,-1,-1,-1,66.71428571,71,-1,61,61,69.57142857,68.85714286,58.85714286,-1,-1,-1,72.42857143,75.28571429,75.28571429,56.71428571,50.28571429,61,99.57142857,-1,48.14285714,-1,-1,-1,-1,-1,-1,-1,81,69.57142857,86.71428571,-1,53.85714286,68.78571429,81,-1,100,90.28571429,100,58.14285714,68.14285714,98.64285714,74.28571429,55.28571429,64.42857143,65.07142857,76.21428571,-1,32.07142857,-1,-1,81.57142857,83.42857143,90.71428571,97.92857143,70.35714286,71.64285714,49.78571429,-1,-1,51,66,-1,58.14285714,52.92857143,87.42857143,81.64285714,24.78571429,-1,68.35714286,-1,-1,58.35714286,-1,-1,-1,64,15.14285714,71,-1,42,66.42857143,28.07142857,23,71.64285714,34.85714286,69.71428571,-1,16.35714286,-1,-1,17.78571429,45.42857143,-1,-1,-1,45.42857143,3.928571429,-1,44.07142857,21.28571429,22.64285714,34.64285714,16.5,15,21.92857143,-1,20.35714286,16.42857143,37.57142857,-1,20.35714286,2,4.642857143,38.78571429,0,7.214285714,9.214285714,-1,23.14285714,24.57142857,23.85714286,30.28571429,46.35714286,15.28571429,14.57142857,-1,36.71428571,28.14285714,-1,-1,23,-1,-1,-1
Chelsea Inn,-1,-1,-1,-1,-1,36.05263158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.73684211,24.73684211,24.73684211,24.73684211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84.21052632,92.10526316,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82.89473684,-1,-1,-1,-1,81.57894737,-1,-1,-1,82.89473684,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.473684211,-1,-1,-1,8.421052632,0,-1
Comfort Inn Times Square South Area,47.65177549,51.31729668,58.19014891,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.97938144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.49026346,64.37571592,64.37571592,-1,-1,84.42153494,-1,74.57044674,-1,-1,-1,-1,-1,93.58533792,-1,-1,84.76517755,86.82703322,-1,-1,80.18327606,100,92.09621993,-1,88.20160367,88.20160367,85.45246277,88.20160367,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41.46620848,-1,-1,53.72279496,79.49599084,65.63573883,66.20847652,39.63344788,38.94616266,-1,-1,50.85910653,46.96449026,46.96449026,46.96449026,48.79725086,47.88087056,48.79725086,48.79725086,-1,-1,-1,-1,49.48453608,52.9209622,47.9954181,44.67353952,-1,39.86254296,37.57159221,-1,-1,29.89690722,-1,-1,12.48568156,35.28064147,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,53.72279496,53.72279496,53.60824742,53.72279496,-1,47.65177549,49.94272623,-1,-1,-1,43.41351661,32.07331042
Conrad New York,-1,32.90258449,31.90854871,46.81908549,38.8667992,30.41749503,26.93836978,33.39960239,17.49502982,19.48310139,27.43538767,35.93439364,21.47117296,23.95626243,31.06361829,-1,36.87872763,28.52882704,23.95626243,21.47117296,35.88469185,-1,34.89065606,-1,-1,-1,68.68787276,-1,-1,57.25646123,-1,-1,89.06560636,77.13717694,-1,-1,-1,-1,-1,-1,-1,-1,75.64612326,74.65208748,67.19681909,58.74751491,53.28031809,74.65208748,-1,-1,-1,100,-1,-1,96.52087475,100,73.1610338,63.22067594,53.28031809,78.62823062,-1,-1,86.5805169,98.01192843,47.31610338,56.26242545,65.20874751,-1,-1,69.68190855,59.2445328,48.80715706,80.11928429,69.68190855,59.2445328,-1,-1,-1,-1,100,-1,90.55666004,96.52087475,100,-1,57.75347913,60.73558648,68.19085487,51.78926441,57.75347913,61.72962227,82.60437376,-1,76.14314115,69.68190855,-1,74.15506958,81.61033797,67.89264414,-1,-1,-1,75.64612326,89.56262425,-1,58.25049702,73.1610338,-1,-1,21.47117296,15.50695825,9.542743539,69.68190855,63.71769384,45.8250497,54.77137177,74.65208748,64.71172962,65.20874751,-1,-1,63.71769384,68.68787276,74.15506958,62.72365805,35.38767396,54.27435388,71.66998012,-1,62.22664016,45.8250497,30.91451292,69.68190855,63.71769384,69.68190855,-1,26.93836978,35.38767396,51.29224652,60.73558648,-1,1.192842942,0,5.069582505,29.92047714,25.4473161,20.97415507,18.9860835,-1,-1,48.80715706,66.2027833,84.09542744,67.69383698,72.16699801,75.64612326,72.11729622,64.01590457,74.65208748,-1
