Checkin Date,2015-08-12,2015-08-12,2015-08-12,2015-08-12,2015-08-13,2015-08-13,2015-08-13,2015-08-13,2015-08-19,2015-08-19,2015-08-19,2015-08-19,2015-08-26,2015-08-26,2015-08-26,2015-08-26,2015-08-27,2015-08-27,2015-08-27,2015-08-27,2015-08-28,2015-08-28,2015-08-28,2015-08-28,2015-09-09,2015-09-09,2015-09-09,2015-09-09,2015-09-10,2015-09-10,2015-09-10,2015-09-10,2015-09-11,2015-09-11,2015-09-11,2015-09-11,2015-09-16,2015-09-16,2015-09-16,2015-09-16,2015-09-17,2015-09-17,2015-09-17,2015-09-17,2015-09-18,2015-09-18,2015-09-18,2015-09-18,2015-09-30,2015-09-30,2015-09-30,2015-09-30,2015-10-01,2015-10-01,2015-10-01,2015-10-01,2015-10-02,2015-10-02,2015-10-02,2015-10-02,2015-10-07,2015-10-07,2015-10-07,2015-10-07,2015-10-14,2015-10-14,2015-10-14,2015-10-14,2015-10-15,2015-10-15,2015-10-15,2015-10-15,2015-10-16,2015-10-16,2015-10-16,2015-10-16,2015-10-21,2015-10-21,2015-10-21,2015-10-21,2015-10-22,2015-10-22,2015-10-22,2015-10-22,2015-10-27,2015-10-27,2015-10-27,2015-10-27,2015-10-28,2015-10-28,2015-10-28,2015-10-28,2015-10-29,2015-10-29,2015-10-29,2015-10-29,2015-10-30,2015-10-30,2015-10-30,2015-10-30,2015-11-03,2015-11-03,2015-11-03,2015-11-03,2015-11-04,2015-11-04,2015-11-04,2015-11-04,2015-11-05,2015-11-05,2015-11-05,2015-11-05,2015-11-06,2015-11-06,2015-11-06,2015-11-06,2015-11-07,2015-11-07,2015-11-07,2015-11-07,2015-11-10,2015-11-10,2015-11-10,2015-11-10,2015-11-11,2015-11-11,2015-11-11,2015-11-11,2015-11-12,2015-11-12,2015-11-12,2015-11-12,2015-11-13,2015-11-13,2015-11-13,2015-11-13,2015-11-18,2015-11-18,2015-11-18,2015-11-18,2015-11-21,2015-11-21,2015-11-21,2015-11-21,2015-11-25,2015-11-25,2015-11-25,2015-11-25,2015-11-26,2015-11-26,2015-11-26,2015-11-26,2015-11-27,2015-11-27,2015-11-27,2015-11-27,2015-11-28,2015-11-28,2015-11-28,2015-11-28
Discount Code,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
Hotel Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloft Harlem,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.471766848816031,10.018214936247716,0.0,-1.0,-1.0,-1.0,-1.0,14.025500910746814,14.025500910746814,14.025500910746814,14.025500910746814,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.04371584699453,32.058287795992726,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.73041894353369,61.56648451730419,71.5846994535519,-1.0,-1.0,53.91621129326049,-1.0,71.5846994535519,-1.0,32.058287795992726,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.90163934426229,-1.0,34.061930783242275,-1.0,47.540983606557376,-1.0,-1.0,-1.0,43.16939890710384,-1.0,-1.0,42.25865209471766,-1.0,-1.0,99.99999999999997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.87795992714027,-1.0,-1.0,-1.0,21.493624772313296,-1.0,-1.0,-1.0,59.92714025500911,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Andaz 5th Avenue - a concept by Hyatt,-1.0,-1.0,20.311526479750768,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,42.928348909657316,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.87538940809968,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99.4392523364486,-1.0,62.6791277258567,-1.0,-1.0,-1.0,52.0872274143302,73.27102803738318,67.66355140186916,-1.0,-1.0,-1.0,79.12772585669781,87.91277258566977,48.41121495327103,59.813084112149525,64.29906542056075,96.32398753894081,39.68847352024922,74.51713395638627,52.211838006230536,42.80373831775701,-1.0,71.40186915887851,73.27102803738318,-1.0,52.710280373831765,63.9252336448598,96.32398753894081,89.47040498442367,50.21806853582554,-1.0,70.77881619937695,57.071651090342684,-1.0,78.8785046728972,-1.0,-1.0,-1.0,68.28660436137072,-1.0,-1.0,72.02492211838005,-1.0,-1.0,-1.0,53.33333333333333,-1.0,89.47040498442367,-1.0,-1.0,64.04984423676011,-1.0,-1.0,45.29595015576324,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.41121495327103,49.40809968847351,-1.0,-1.0,48.97196261682241,89.47040498442367,-1.0,-1.0,34.0809968847352,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.36137071651089,64.54828660436137,65.17133956386293,53.457943925233636,40.87227414330218,-1.0,-1.0,-1.0,45.109034267912776,-1.0,-1.0,42.49221183800623,-1.0,-1.0,78.94080996884735,73.58255451713394,-1.0,-1.0,-1.0,-1.0,-1.0,40.06230529595015,64.54828660436137,-1.0,44.04984423676012,33.52024922118379,42.55451713395638,45.29595015576324,33.146417445482854,34.95327102803738,31.71339563862928,55.3271028037383,-1.0,-1.0,-1.0,-1.0,-1.0,10.155763239875384,9.34579439252336,0.8722741433021781,-1.0,10.155763239875384,47.601246105919,47.601246105919,43.613707165109034,-1.0,52.46105919003115,-1.0,-1.0,89.65732087227413,45.981308411214954,69.96884735202492,96.26168224299066,51.21495327102802,78.81619937694704,99.99999999999999
Andaz Wall Street - a concept by Hyatt,22.478386167146972,20.1729106628242,21.90201729106628,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.951008645533143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.769452449567716,-1.0,-1.0,59.077809798270884,38.616714697406344,39.769452449567716,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.43227665706052,52.44956772334293,51.29682997118156,-1.0,52.44956772334293,54.466858789625356,50.14409221902017,50.720461095100866,-1.0,-1.0,38.616714697406344,100.0,-1.0,41.32564841498559,-1.0,32.27665706051874,-1.0,-1.0,40.749279538904894,-1.0,76.94524495677234,-1.0,79.25072046109511,-1.0,37.46397694524496,54.7550432276657,53.31412103746397,-1.0,-1.0,32.795389048991346,-1.0,50.43227665706052,-1.0,-1.0,-1.0,-1.0,54.7550432276657,39.769452449567716,54.466858789625356,60.51873198847262,44.668587896253605,47.550432276657055,45.53314121037463,47.8386167146974,-1.0,60.51873198847262,-1.0,65.99423631123918,40.05763688760806,31.700288184438044,49.85590778097983,57.06051873198847,41.78674351585014,45.994236311239185,47.550432276657055,-1.0,51.29682997118156,50.14409221902017,34.582132564841494,-1.0,67.72334293948126,55.61959654178674,62.53602305475504,69.7406340057637,-1.0,34.582132564841494,50.14409221902017,-1.0,32.27665706051874,31.700288184438044,28.242074927953887,-1.0,32.853025936599416,-1.0,-1.0,20.1729106628242,-1.0,-1.0,34.582132564841494,-1.0,-1.0,21.72910662824207,32.910662824207485,37.11815561959654,5.936599423631122,19.02017291066283,26.22478386167146,-1.0,21.72910662824207,24.553314121037467,19.596541786743508,8.76080691642651,29.394812680115272,49.56772334293948,30.028818443804035,-1.0,4.610951008645529,-1.0,-1.0,-1.0,-1.0,1.1527377521613857,0.0,2.017291066282418,2.190201729106626,3.1123919308357344,0.8645533141210393,-1.0,18.731988472622483,23.40057636887608,9.394812680115272,7.089337175792508,62.88184438040346,29.337175792507203,22.824207492795388,46.685878962536016,44.610951008645536,34.7550432276657,-1.0,-1.0
Baccarat Hotel and Residences New York,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.389610389610397,-1.0,-1.0,-1.0,10.389610389610397,-1.0,-1.0,-1.0,3.8961038961039094,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.2987012987013031,-1.0,-1.0,-1.0,-1.0,85.71428571428572,85.71428571428572,35.06493506493507,-1.0,-1.0,-1.0,-1.0
Bentley Hotel,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.290505432215397,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97.07132735002361,-1.0,-1.0,-1.0,-1.0,-1.0,25.366084081247045,25.271610769957483,24.846480869154455,24.610297590930564,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.06188001889466,-1.0,-1.0,43.930089749645724,48.228625413320735,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.926783183750587,12.75389702409069,12.517713745866793,14.690599905526689,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,29.28672649976381,-1.0,-1.0,54.5583372697213,55.40859707132734,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.147850732168159,-1.0
Best Western Bayside Inn,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,96.91629955947138,-1.0,-1.0,85.46255506607929,-1.0,-1.0,74.44933920704847,-1.0,-1.0,-1.0,-1.0,84.14096916299559,71.80616740088107,-1.0,-1.0,83.2599118942731,-1.0,-1.0,-1.0,52.86343612334804,-1.0,-1.0,-1.0,71.80616740088107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,71.80616740088107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.95594713656385,51.101321585903065,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.101321585903065,-1.0,29.95594713656385,40.52863436123346,8.810572687224692,-1.0,-1.0,69.60352422907488,58.590308370044056,-1.0,-1.0,45.81497797356826,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.26431718061673,30.39647577092512,0.0,-1.0,-1.0,61.67400881057267,-1.0,-1.0,-1.0,25.550660792951533,70.48458149779736,-1.0,18.06167400881054,44.052863436123346,66.07929515418499,-1.0,-1.0,-1.0,-1.0,-1.0
Best Western Bowery Hanbee Hotel,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.48223350253808,65.22842639593908,-1.0,-1.0,72.58883248730963,65.48223350253808,-1.0,-1.0,77.66497461928934,-1.0,-1.0,-1.0,-1.0,75.25380710659898,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76.6497461928934,82.61421319796953,99.99999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.3756345177665,57.74111675126905,-1.0,-1.0,77.53807106598985,77.53807106598985,-1.0,-1.0,-1.0,68.4010152284264,-1.0,-1.0,-1.0,68.02030456852792,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.81218274111676,-1.0,68.65482233502537,70.81218274111676,66.49746192893402,-1.0,-1.0,77.53807106598985,77.53807106598985,-1.0,-1.0,-1.0,68.4010152284264,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.3502538071066,56.72588832487308,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.26903553299492,0.0,0.253807106598984,1.649746192893403,11.040609137055839,15.482233502538065,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.685279187817272,15.482233502538065
Best Western Plus Arena Hotel,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.97420333839152,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.04400606980273,100.00000000000001,-1.0,-1.0,86.64643399089529,71.16843702579668,67.22306525037938,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.09408194233687,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.35660091047042,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.92412746585735,-1.0,-1.0,29.590288315629735,0.0,-1.0,-1.0
