,features,label
0,"[1.0,735856.0,735865.0,9.0,27.0]",1.0
1,"[0.0,735890.0,735899.0,9.0,46.0]",3.0
2,"[6.0,735831.0,735854.0,23.0,81.0]",0.0
3,"[3.0,735871.0,735898.0,27.0,65.0]",2.0
4,"[2.0,735956.0,735957.0,1.0,129.0]",0.0
5,"[6.0,735887.0,735889.0,2.0,1.0]",0.0
6,"[1.0,735889.0,735907.0,18.0,81.0]",3.0
7,"[5.0,735948.0,735953.0,5.0,164.0]",2.0
8,"[6.0,735910.0,735931.0,21.0,17.0]",2.0
9,"[2.0,735898.0,735915.0,17.0,31.0]",0.0
10,"[3.0,735877.0,735884.0,7.0,107.0]",2.0
11,"[6.0,735892.0,735917.0,25.0,61.0]",0.0
12,"[4.0,735958.0,735979.0,21.0,40.0]",1.0
13,"[0.0,735814.0,735822.0,8.0,11.0]",3.0
14,"[6.0,735837.0,735854.0,17.0,28.0]",2.0
15,"[6.0,735838.0,735861.0,23.0,115.0]",0.0
16,"[1.0,735825.0,735858.0,33.0,5.0]",1.0
17,"[2.0,735877.0,735908.0,31.0,392.0]",2.0
18,"[3.0,735888.0,735898.0,10.0,111.0]",2.0
19,"[4.0,735871.0,735895.0,24.0,25.0]",1.0
20,"[2.0,735816.0,735817.0,1.0,176.0]",0.0
21,"[5.0,735911.0,735939.0,28.0,6.0]",1.0
22,"[6.0,735836.0,735847.0,11.0,69.0]",2.0
23,"[1.0,735862.0,735886.0,24.0,12.0]",3.0
24,"[0.0,735951.0,735955.0,4.0,73.0]",2.0
25,"[4.0,735835.0,735867.0,32.0,5.0]",2.0
26,"[5.0,735916.0,735925.0,9.0,16.0]",1.0
27,"[0.0,735851.0,735871.0,20.0,10.0]",0.0
28,"[2.0,735945.0,735957.0,12.0,16.0]",0.0
29,"[3.0,735944.0,735961.0,17.0,13.0]",3.0
30,"[3.0,735963.0,735975.0,12.0,37.0]",2.0
31,"[2.0,735833.0,735838.0,5.0,308.0]",0.0
32,"[4.0,735886.0,735895.0,9.0,22.0]",1.0
33,"[3.0,735922.0,735947.0,25.0,27.0]",1.0
34,"[3.0,735886.0,735912.0,26.0,13.0]",1.0
35,"[1.0,735955.0,735984.0,29.0,12.0]",0.0
36,"[6.0,735877.0,735903.0,26.0,250.0]",0.0
37,"[2.0,735881.0,735908.0,27.0,48.0]",0.0
38,"[2.0,735916.0,735950.0,34.0,130.0]",1.0
39,"[2.0,735839.0,735845.0,6.0,30.0]",1.0
40,"[6.0,735801.0,735819.0,18.0,26.0]",0.0
41,"[6.0,735930.0,735938.0,8.0,282.0]",3.0
42,"[3.0,735930.0,735940.0,10.0,12.0]",2.0
43,"[4.0,735924.0,735951.0,27.0,9.0]",0.0
44,"[5.0,735878.0,735911.0,33.0,5.0]",2.0
45,"[1.0,735898.0,735907.0,9.0,107.0]",0.0
46,"[4.0,735904.0,735937.0,33.0,32.0]",2.0
47,"[2.0,735816.0,735824.0,8.0,42.0]",0.0
48,"[1.0,735839.0,735851.0,12.0,43.0]",2.0
49,"[4.0,735816.0,735846.0,30.0,4.0]",1.0
50,"[3.0,735896.0,735912.0,16.0,40.0]",3.0
51,"[1.0,735840.0,735872.0,32.0,16.0]",2.0
52,"[1.0,735897.0,735900.0,3.0,49.0]",1.0
53,"[4.0,735873.0,735902.0,29.0,206.0]",0.0
54,"[3.0,735918.0,735919.0,1.0,369.0]",0.0
55,"[2.0,735850.0,735852.0,2.0,177.0]",2.0
56,"[3.0,735840.0,735863.0,23.0,7.0]",3.0
57,"[6.0,735819.0,735847.0,28.0,1.0]",3.0
58,"[4.0,735895.0,735902.0,7.0,21.0]",2.0
59,"[0.0,735834.0,735857.0,23.0,42.0]",2.0
60,"[1.0,735832.0,735858.0,26.0,2.0]",3.0
61,"[0.0,735881.0,735906.0,25.0,28.0]",0.0
62,"[5.0,735817.0,735820.0,3.0,10.0]",0.0
63,"[6.0,735902.0,735924.0,22.0,9.0]",0.0
64,"[3.0,735813.0,735828.0,15.0,18.0]",2.0
65,"[0.0,735952.0,735955.0,3.0,8.0]",3.0
66,"[5.0,735887.0,735918.0,31.0,59.0]",2.0
67,"[3.0,735917.0,735926.0,9.0,28.0]",1.0
68,"[0.0,735812.0,735829.0,17.0,31.0]",1.0
